0	0	10
0.1	0	-10
0.2	0	-10
0.3	0	-10
0.4	0	-10
0.5	0	-10
0.6	0	-10
0.7	0	-10
0.8	0	-10
0.9	0	-10
1	0	-10
1.1	0	-10
1.2	0	-10
1.3	0	-10
1.4	0	-10
1.5	0	-10
1.6	0	-10
1.7	0	-10
1.8	0	-10
1.9	0	-10
2	0	-10
2.1	0	-10
2.2	0	-10
2.3	0	-10
2.4	0	-10
2.5	0	-10
2.6	0	-10
2.7	0	-10
2.8	0	-10
2.9	0	-10
3	0	-10
3.1	0	-10
3.2	0	-10
3.3	0	-10
3.4	0	-10
3.5	0	-10
3.6	0	-10
3.7	0	-10
3.8	0	-10
3.9	0	-10
4	0	-10
4.1	0	-10
4.2	0	-10
4.3	0	-10
4.4	0	-10
4.5	0	-10
4.6	0	-10
4.7	0	-10
4.8	0	-10
4.9	0	-10
5	0	-10
5.1	0	-10
5.2	0	-10
5.3	0	-10
5.4	0	-10
5.5	0	-10
5.6	0	-10
5.7	0	-10
5.8	0	-10
5.9	0	-10
6	0	-10
6.1	0	-10
6.2	0	-10
6.3	0	-10
6.4	0	-10
6.5	0	-10
6.6	0	-10
6.7	0	-10
6.8	0	-10
6.9	0	-10
7	0	-10
7.1	0	-10
7.2	0	-10
7.3	0	-10
7.4	0	-10
7.5	0	-10
7.6	0	-10
7.7	0	-10
7.8	0	-10
7.9	0	-10
8	0	-10
8.1	0	-10
8.2	0	-10
8.3	0	-10
8.4	0	-10
8.5	0	-10
8.6	0	-10
8.7	0	-10
8.8	0	-10
8.9	0	-10
9	0	-10
9.1	0	-10
9.2	0	-10
9.3	0	-10
9.4	0	-10
9.5	0	-10
9.6	0	-10
9.7	0	-10
9.8	0	-10
9.9	0	-10
10	0	-10
10.1	0	-10
10.2	0	-10
10.3	0	-10
10.4	0	-10
10.5	0	-10
10.6	0	-10
10.7	0	-10
10.8	0	-10
10.9	0	-10
11	0	-10
11.1	0	-10
11.2	0	-10
11.3	0	-10
11.4	0	-10
11.5	0	-10
11.6	0	-10
11.7	0	-10
11.8	0	-10
11.9	0	-10
12	0	-10
12.1	0	-10
12.2	0	-10
12.3	0	-10
12.4	0	-10
12.5	0	-10
12.6	0	-10
12.7	0	-10
12.8	0	-10
12.9	0	-10
13	0	-10
13.1	0	-10
13.2	0	-10
13.3	0	-10
13.4	0	-10
13.5	0	-10
13.6	0	-10
13.7	0	-10
13.8	0	-10
13.9	0	-10
14	0	-10
14.1	0	-10
14.2	0	-10
14.3	0	-10
14.4	0	-10
14.5	0	-10
14.6	0	-10
14.7	0	-10
14.8	0	-10
14.9	0	-10
15	0	-10
15.1	0	-10
15.2	0	-10
15.3	0	-10
15.4	0	-10
15.5	0	-10
15.6	0	-10
15.7	0	-10
15.8	0	-10
15.9	0	-10
16	0	-10
16.1	0	-10
16.2	0	-10
16.3	0	-10
16.4	0	-10
16.5	0	-10
16.6	0	-10
16.7	0	-10
16.8	0	-10
16.9	0	-10
17	0	-10
17.1	0	-10
17.2	0	-10
17.3	0	-10
17.4	0	-10
17.5	0	-10
17.6	0	-10
17.7	0	-10
17.8	0	-10
17.9	0	-10
18	0	-10
18.1	0	-10
18.2	0	-10
18.3	0	-10
18.4	0	-10
18.5	0	-10
18.6	0	-10
18.7	0	-10
18.8	0	-10
18.9	0	-10
19	0	-10
19.1	0	-10
19.2	0	-10
19.3	0	-10
19.4	0	-10
19.5	0	-10
19.6	0	-10
19.7	0	-10
19.8	0	-10
19.9	0	-10
20	0	10
0	0.1	10
0.1	0.1	-1.25898e-015
0.2	0.1	-3.95305
0.3	0.1	-5.81222
0.4	0.1	-6.83009
0.5	0.1	-7.45748
0.6	0.1	-7.8794
0.7	0.1	-8.18172
0.8	0.1	-8.40875
0.9	0.1	-8.58544
1	0.1	-8.72682
1.1	0.1	-8.84252
1.2	0.1	-8.93894
1.3	0.1	-9.02053
1.4	0.1	-9.09046
1.5	0.1	-9.15106
1.6	0.1	-9.20408
1.7	0.1	-9.25086
1.8	0.1	-9.29243
1.9	0.1	-9.32962
2	0.1	-9.36308
2.1	0.1	-9.39335
2.2	0.1	-9.42086
2.3	0.1	-9.44596
2.4	0.1	-9.46897
2.5	0.1	-9.49012
2.6	0.1	-9.50963
2.7	0.1	-9.52769
2.8	0.1	-9.54445
2.9	0.1	-9.56004
3	0.1	-9.57457
3.1	0.1	-9.58816
3.2	0.1	-9.60088
3.3	0.1	-9.61282
3.4	0.1	-9.62404
3.5	0.1	-9.6346
3.6	0.1	-9.64457
3.7	0.1	-9.65398
3.8	0.1	-9.66287
3.9	0.1	-9.6713
4	0.1	-9.67928
4.1	0.1	-9.68686
4.2	0.1	-9.69406
4.3	0.1	-9.7009
4.4	0.1	-9.70742
4.5	0.1	-9.71362
4.6	0.1	-9.71954
4.7	0.1	-9.72518
4.8	0.1	-9.73057
4.9	0.1	-9.73572
5	0.1	-9.74064
5.1	0.1	-9.74534
5.2	0.1	-9.74984
5.3	0.1	-9.75415
5.4	0.1	-9.75827
5.5	0.1	-9.76222
5.6	0.1	-9.766
5.7	0.1	-9.76962
5.8	0.1	-9.7731
5.9	0.1	-9.77643
6	0.1	-9.77962
6.1	0.1	-9.78268
6.2	0.1	-9.78561
6.3	0.1	-9.78842
6.4	0.1	-9.79112
6.5	0.1	-9.7937
6.6	0.1	-9.79617
6.7	0.1	-9.79854
6.8	0.1	-9.80081
6.9	0.1	-9.80298
7	0.1	-9.80505
7.1	0.1	-9.80704
7.2	0.1	-9.80893
7.3	0.1	-9.81074
7.4	0.1	-9.81247
