0	5.41304
1	4.83293
2	4.61669
3	4.509
4	4.44322
5	4.39776
6	4.36443
7	4.33948
8	4.32076
9	4.30682
10	4.29657
11	4.28914
12	4.28384
13	4.28014
14	4.27759
15	4.27589
16	4.27479
17	4.27411
18	4.27372
19	4.27354
20	4.27348
21	4.27351
22	4.27359
23	4.2737
24	4.27383
25	4.27395
26	4.27408
27	4.2742
28	4.2743
29	4.2744
30	4.27449
31	4.27457
32	4.27464
33	4.2747
34	4.27476
35	4.2748
36	4.27484
37	4.27488
38	4.27491
39	4.27493
40	4.27496
41	4.27498
42	4.27499
43	4.27501
44	4.27502
45	4.27503
46	4.27504
47	4.27505
48	4.27505
49	4.27506
50	4.27506
51	4.27507
52	4.27507
53	4.27507
54	4.27508
55	4.27508
56	4.27508
57	4.27508
58	4.27508
59	4.27508
60	4.27509
61	4.27509
62	4.27509
63	4.27509
64	4.27509
65	4.27509
66	4.27509
67	4.27509
68	4.27509
69	4.27509
70	4.27509
71	4.27509
72	4.27509
73	4.27509
74	4.27509
75	4.27509
76	4.27509
77	4.27509
78	4.27509
79	4.27509
