0	0	0
0	0.8	0.0980171
0	1.6	0.19509
0	2.4	0.290285
0	3.2	0.382683
0	4	0.471397
0	4.8	0.55557
0	5.6	0.634393
0	6.4	0.707107
0	7.2	0.77301
0	8	0.83147
0	8.8	0.881921
0	9.6	0.92388
0	10.4	0.95694
0	11.2	0.980785
0	12	0.995185
0	12.8	1
0	13.6	0.995185
0	14.4	0.980785
0	15.2	0.95694
0	16	0.92388
0	16.8	0.881921
0	17.6	0.83147
0	18.4	0.77301
0	19.2	0.707107
0	20	0.634393
0	20.8	0.55557
0	21.6	0.471397
0	22.4	0.382683
0	23.2	0.290285
0	24	0.19509
0	24.8	0.0980171
0	25.6	-0
0.8	0	0.19509
0.8	0.8	0.249927
0.8	1.6	0.310058
0.8	2.4	0.373529
0.8	3.2	0.438591
0.8	4	0.503685
0.8	4.8	0.567411
0.8	5.6	0.628517
0.8	6.4	0.685886
0.8	7.2	0.738527
0.8	8	0.785566
0.8	8.8	0.826239
0.8	9.6	0.859891
0.8	10.4	0.885972
0.8	11.2	0.904031
0.8	12	0.913712
0.8	12.8	0.914755
0.8	13.6	0.906989
0.8	14.4	0.890327
0.8	15.2	0.86476
0.8	16	0.830356
0.8	16.8	0.787246
0.8	17.6	0.735617
0.8	18.4	0.675704
0.8	19.2	0.607774
0.8	20	0.532113
0.8	20.8	0.449012
0.8	21.6	0.358741
0.8	22.4	0.261532
0.8	23.2	0.157551
0.8	24	0.0468617
0.8	24.8	-0.0706032
0.8	25.6	-0.19509
1.6	0	0.382683
1.6	0.8	0.396541
1.6	1.6	0.421688
1.6	2.4	0.45518
1.6	3.2	0.494468
1.6	4	0.53734
1.6	4.8	0.58187
1.6	5.6	0.626376
1.6	6.4	0.669394
1.6	7.2	0.709646
1.6	8	0.746026
1.6	8.8	0.777575
1.6	9.6	0.803474
1.6	10.4	0.823026
1.6	11.2	0.835652
1.6	12	0.840876
1.6	12.8	0.838319
1.6	13.6	0.827689
1.6	14.4	0.808771
1.6	15.2	0.781417
1.6	16	0.745539
1.6	16.8	0.701089
1.6	17.6	0.648049
1.6	18.4	0.586414
1.6	19.2	0.51617
1.6	20	0.437273
1.6	20.8	0.349622
1.6	21.6	0.253023
1.6	22.4	0.147155
1.6	23.2	0.0315236
1.6	24	-0.0945912
1.6	24.8	-0.232201
1.6	25.6	-0.382683
2.4	0	0.55557
2.4	0.8	0.531865
2.4	1.6	0.524972
2.4	2.4	0.531033
2.4	3.2	0.54676
2.4	4	0.569338
2.4	4.8	0.596351
2.4	5.6	0.625722
2.4	6.4	0.655664
2.4	7.2	0.684637
2.4	8	0.711315
2.4	8.8	0.734561
2.4	9.6	0.7534
2.4	10.4	0.767005
2.4	11.2	0.774674
2.4	12	0.775821
2.4	12.8	0.769956
2.4	13.6	0.756675
2.4	14.4	0.735648
2.4	15.2	0.706598
2.4	16	0.669293
2.4	16.8	0.62352
2.4	17.6	0.569075
2.4	18.4	0.505731
2.4	19.2	0.433218
2.4	20	0.351188
2.4	20.8	0.259179
2.4	21.6	0.156572
2.4	22.4	0.0425392
2.4	23.2	-0.0840198
2.4	24	-0.224549
2.4	24.8	-0.380927
2.4	25.6	-0.55557
3.2	0	0.707107
3.2	0.8	0.650377
3.2	1.6	0.6153
3.2	2.4	0.597221
3.2	3.2	0.592201
3.2	4	0.596899
3.2	4.8	0.608471
3.2	5.6	0.624496
3.2	6.4	0.642903
3.2	7.2	0.661921
3.2	8	0.680035
3.2	8.8	0.695951
3.2	9.6	0.708559
3.2	10.4	0.716917
3.2	11.2	0.720217
3.2	12	0.717774
3.2	12.8	0.709005
3.2	13.6	0.693407
3.2	14.4	0.670546
3.2	15.2	0.640034
3.2	16	0.601511
3.2	16.8	0.554623
3.2	17.6	0.498997
3.2	18.4	0.434217
3.2	19.2	0.359783
3.2	20	0.275081
3.2	20.8	0.179334
3.2	21.6	0.071548
3.2	22.4	-0.0495508
3.2	23.2	-0.185593
3.2	24	-0.338659
3.2	24.8	-0.511387
3.2	25.6	-0.707107
4	0	0.83147
4	0.8	0.747234
4	1.6	0.68863
4	2.4	0.650348
4	3.2	0.627922
4	4	0.617582
4	4.8	0.616138
4	5.6	0.620886
